sim_id 501: ml_ate=-0.0945 ml_ey1=0.2415 ml_ey0=0.3360   [1 this run, 25.1s/dataset]
sim_id 502: ml_ate=-0.0658 ml_ey1=0.2639 ml_ey0=0.3297   [2 this run, 27.8s/dataset]
sim_id 503: ml_ate=-0.0702 ml_ey1=0.2560 ml_ey0=0.3262   [3 this run, 32.1s/dataset]
sim_id 504: ml_ate=-0.0591 ml_ey1=0.2903 ml_ey0=0.3494   [4 this run, 32.1s/dataset]
sim_id 505: ml_ate=-0.0386 ml_ey1=0.2887 ml_ey0=0.3273   [5 this run, 32.5s/dataset]
sim_id 506: ml_ate=-0.0367 ml_ey1=0.2908 ml_ey0=0.3275   [6 this run, 32.7s/dataset]
sim_id 507: ml_ate=-0.0488 ml_ey1=0.2802 ml_ey0=0.3291   [7 this run, 32.5s/dataset]
sim_id 508: ml_ate=-0.0460 ml_ey1=0.2924 ml_ey0=0.3384   [8 this run, 32.7s/dataset]
sim_id 509: ml_ate=-0.1019 ml_ey1=0.2456 ml_ey0=0.3475   [9 this run, 32.3s/dataset]
sim_id 510: ml_ate=-0.0479 ml_ey1=0.2664 ml_ey0=0.3144   [10 this run, 32.1s/dataset]
sim_id 511: ml_ate=-0.0761 ml_ey1=0.2399 ml_ey0=0.3160   [11 this run, 31.9s/dataset]
sim_id 512: ml_ate=-0.1043 ml_ey1=0.2256 ml_ey0=0.3299   [12 this run, 31.8s/dataset]
sim_id 513: ml_ate=-0.0885 ml_ey1=0.2332 ml_ey0=0.3217   [13 this run, 31.6s/dataset]
sim_id 514: ml_ate=-0.1053 ml_ey1=0.2246 ml_ey0=0.3299   [14 this run, 31.5s/dataset]
sim_id 515: ml_ate=-0.0773 ml_ey1=0.2548 ml_ey0=0.3321   [15 this run, 31.5s/dataset]
sim_id 516: ml_ate=-0.1082 ml_ey1=0.2293 ml_ey0=0.3375   [16 this run, 31.4s/dataset]
sim_id 517: ml_ate=-0.0923 ml_ey1=0.2265 ml_ey0=0.3187   [17 this run, 31.3s/dataset]
sim_id 518: ml_ate=-0.1021 ml_ey1=0.2311 ml_ey0=0.3332   [18 this run, 31.3s/dataset]
sim_id 519: ml_ate=-0.0795 ml_ey1=0.2409 ml_ey0=0.3204   [19 this run, 31.2s/dataset]
sim_id 520: ml_ate=-0.0481 ml_ey1=0.2873 ml_ey0=0.3354   [20 this run, 31.2s/dataset]
sim_id 521: ml_ate=-0.0751 ml_ey1=0.2667 ml_ey0=0.3418   [21 this run, 31.1s/dataset]
sim_id 522: ml_ate=-0.0829 ml_ey1=0.2367 ml_ey0=0.3197   [22 this run, 31.0s/dataset]
sim_id 523: ml_ate=-0.0707 ml_ey1=0.2777 ml_ey0=0.3485   [23 this run, 31.0s/dataset]
sim_id 524: ml_ate=-0.0513 ml_ey1=0.2626 ml_ey0=0.3139   [24 this run, 30.9s/dataset]
sim_id 525: ml_ate=-0.0621 ml_ey1=0.2679 ml_ey0=0.3300   [25 this run, 30.9s/dataset]
sim_id 526: ml_ate=-0.0632 ml_ey1=0.2611 ml_ey0=0.3243   [26 this run, 30.9s/dataset]
sim_id 527: ml_ate=-0.0735 ml_ey1=0.2331 ml_ey0=0.3066   [27 this run, 30.8s/dataset]
sim_id 528: ml_ate=-0.0636 ml_ey1=0.2546 ml_ey0=0.3181   [28 this run, 30.8s/dataset]
sim_id 529: ml_ate=-0.0713 ml_ey1=0.2340 ml_ey0=0.3052   [29 this run, 30.7s/dataset]
sim_id 530: ml_ate=-0.0893 ml_ey1=0.2311 ml_ey0=0.3204   [30 this run, 30.7s/dataset]
sim_id 531: ml_ate=-0.1003 ml_ey1=0.2548 ml_ey0=0.3551   [31 this run, 30.6s/dataset]
sim_id 532: ml_ate=-0.0562 ml_ey1=0.2557 ml_ey0=0.3118   [32 this run, 30.6s/dataset]
sim_id 533: ml_ate=-0.0592 ml_ey1=0.2536 ml_ey0=0.3128   [33 this run, 30.6s/dataset]
sim_id 534: ml_ate=-0.0567 ml_ey1=0.2604 ml_ey0=0.3171   [34 this run, 30.5s/dataset]
sim_id 535: ml_ate=-0.0667 ml_ey1=0.2571 ml_ey0=0.3238   [35 this run, 30.6s/dataset]
sim_id 536: ml_ate=-0.1211 ml_ey1=0.2236 ml_ey0=0.3447   [36 this run, 31.2s/dataset]
sim_id 537: ml_ate=-0.0735 ml_ey1=0.2446 ml_ey0=0.3181   [37 this run, 31.2s/dataset]
sim_id 538: ml_ate=-0.0662 ml_ey1=0.2543 ml_ey0=0.3205   [38 this run, 31.1s/dataset]
sim_id 539: ml_ate=-0.0933 ml_ey1=0.2491 ml_ey0=0.3423   [39 this run, 30.9s/dataset]
sim_id 540: ml_ate=-0.0907 ml_ey1=0.2484 ml_ey0=0.3391   [40 this run, 30.8s/dataset]
sim_id 541: ml_ate=-0.0826 ml_ey1=0.2475 ml_ey0=0.3301   [41 this run, 30.7s/dataset]
sim_id 542: ml_ate=-0.0748 ml_ey1=0.2507 ml_ey0=0.3255   [42 this run, 30.6s/dataset]
sim_id 543: ml_ate=-0.0404 ml_ey1=0.2766 ml_ey0=0.3170   [43 this run, 30.5s/dataset]
sim_id 544: ml_ate=-0.0429 ml_ey1=0.2809 ml_ey0=0.3238   [44 this run, 30.4s/dataset]
