sim_id,true_scaipw_rd,true_scaipw_se,true_sctmle_rd,true_sctmle_se,main_scaipw_rd,main_scaipw_se,main_sctmle_rd,main_sctmle_se
1,-0.13762975346902526,0.024963514750724728,-0.11686932988534637,0.01997351583424837,-0.12834008763821167,0.02159033922990302,-0.13337176997101355,0.021643427441245245
2,-0.10826176800205184,0.021437003950663475,-0.10565651428694912,0.02084067591448987,-0.15716713670215204,0.02568332613408739,-0.12244236408315004,0.01978119751712646
3,-0.15049590570322036,0.02718967776356506,-0.1492274957340412,0.023326324936775805,-0.020576508004790914,0.0606518029382332,-0.1394198251517092,0.028400209655449083
4,-0.1073514722135522,0.02203066139283055,-0.09503685542706698,0.02265228432523206,-0.18294241142746887,0.05822376914451258,-0.10916747248268943,0.05082905562434206
5,-0.07357934801750701,0.024472417269386502,-0.07429756063537049,0.023389734350082257,-0.06502113043021454,0.03579180936984616,-0.08021704866711862,0.033477398008323014
6,-0.11679506391576132,0.021956846302506383,-0.12919094805752543,0.025176818227567524,-0.15173975101821777,0.01891296978338609,-0.14606189174350767,0.018936661498119345
7,-0.11835958434273704,0.02052488618742052,-0.11825077549823346,0.0202079284161324,-0.14156541902469139,0.04727999269895811,-0.11770897581189672,0.031358030750838574
8,-0.027968082674117833,0.044798730836998195,-0.05817082534553596,0.023851740360263746,-0.06698272156971281,0.02539490691962856,-0.07160847737585013,0.025174164943264268
9,-0.09344540896559761,0.02294929114539622,-0.09740393398651687,0.022896829328609203,-0.1953855088995423,0.05730987110371884,-0.12692348620724328,0.034844517108264986
10,-0.06826678585248605,0.022451331653631737,-0.07761369288387664,0.02305591696108944,-0.10301986573398776,0.030126824847848902,-0.12140300488051788,0.02910697276288723
11,-0.11463902646390757,0.024595351454606357,-0.11686051394332973,0.023044736298529336,-0.08363715245372906,0.04441952225452019,-0.11118545012266219,0.04539557731038544
12,-0.1131191966931737,0.02268827013558386,-0.11684523098086219,0.02248438882501126,-0.07362155843166467,0.040093137710380464,-0.1156078102604971,0.03555719830823983
