sim_id 1: ml_ate=-0.0754 ml_ey1=0.2656 ml_ey0=0.3409   [1 this run, 2.8s/dataset]
sim_id 2: ml_ate=-0.0560 ml_ey1=0.2718 ml_ey0=0.3278   [2 this run, 2.7s/dataset]
sim_id 3: ml_ate=-0.1001 ml_ey1=0.2383 ml_ey0=0.3384   [3 this run, 2.7s/dataset]
sim_id 4: ml_ate=-0.0618 ml_ey1=0.2612 ml_ey0=0.3230   [4 this run, 2.7s/dataset]
sim_id 5: ml_ate=-0.0385 ml_ey1=0.2841 ml_ey0=0.3226   [5 this run, 2.7s/dataset]
sim_id 6: ml_ate=-0.0897 ml_ey1=0.2460 ml_ey0=0.3356   [6 this run, 2.6s/dataset]
sim_id 7: ml_ate=-0.0710 ml_ey1=0.2550 ml_ey0=0.3260   [7 this run, 2.6s/dataset]
sim_id 8: ml_ate=-0.0367 ml_ey1=0.2883 ml_ey0=0.3250   [8 this run, 2.6s/dataset]
sim_id 9: ml_ate=-0.0511 ml_ey1=0.2678 ml_ey0=0.3190   [9 this run, 2.6s/dataset]
sim_id 10: ml_ate=-0.0542 ml_ey1=0.2816 ml_ey0=0.3358   [10 this run, 2.6s/dataset]
sim_id 11: ml_ate=-0.0767 ml_ey1=0.2352 ml_ey0=0.3118   [11 this run, 2.6s/dataset]
sim_id 12: ml_ate=-0.0593 ml_ey1=0.2627 ml_ey0=0.3220   [12 this run, 2.6s/dataset]
sim_id 13: ml_ate=-0.1077 ml_ey1=0.2236 ml_ey0=0.3313   [13 this run, 2.6s/dataset]
sim_id 14: ml_ate=-0.0477 ml_ey1=0.2654 ml_ey0=0.3130   [14 this run, 2.6s/dataset]
sim_id 15: ml_ate=-0.0503 ml_ey1=0.2845 ml_ey0=0.3348   [15 this run, 2.6s/dataset]
sim_id 16: ml_ate=-0.0489 ml_ey1=0.2768 ml_ey0=0.3257   [16 this run, 2.7s/dataset]
sim_id 17: ml_ate=-0.0561 ml_ey1=0.2687 ml_ey0=0.3248   [17 this run, 2.7s/dataset]
sim_id 18: ml_ate=-0.0739 ml_ey1=0.2539 ml_ey0=0.3279   [18 this run, 2.8s/dataset]
sim_id 19: ml_ate=-0.0626 ml_ey1=0.2562 ml_ey0=0.3188   [19 this run, 2.9s/dataset]
sim_id 20: ml_ate=-0.0558 ml_ey1=0.2780 ml_ey0=0.3338   [20 this run, 3.0s/dataset]
sim_id 21: ml_ate=-0.0878 ml_ey1=0.2560 ml_ey0=0.3437   [21 this run, 3.1s/dataset]
sim_id 22: ml_ate=-0.0738 ml_ey1=0.2484 ml_ey0=0.3222   [22 this run, 3.1s/dataset]
sim_id 23: ml_ate=-0.0760 ml_ey1=0.2539 ml_ey0=0.3300   [23 this run, 3.2s/dataset]
sim_id 24: ml_ate=-0.0619 ml_ey1=0.2642 ml_ey0=0.3261   [24 this run, 3.2s/dataset]
sim_id 25: ml_ate=-0.0950 ml_ey1=0.2452 ml_ey0=0.3402   [25 this run, 3.2s/dataset]
sim_id 26: ml_ate=-0.0562 ml_ey1=0.2803 ml_ey0=0.3365   [26 this run, 3.2s/dataset]
sim_id 27: ml_ate=-0.0358 ml_ey1=0.2856 ml_ey0=0.3213   [27 this run, 3.3s/dataset]
sim_id 28: ml_ate=-0.0267 ml_ey1=0.2978 ml_ey0=0.3245   [28 this run, 3.3s/dataset]
