bias,std,lcl,ucl,cover,cld
-0.014086672809107248,0.018027984073087446,-0.15757232159235865,-0.08690262402585586,1,0.07066969756650279
-0.00656695098871643,0.01809590097955514,-0.15018571690864452,-0.07924978506878835,1,0.07093593183985616
-0.019072124129205045,0.01962351369683683,-0.16568501097500524,-0.08876083728340486,1,0.07692417369160037
-0.026646498144125882,0.017437039031281357,-0.16897389464543736,-0.10062070164281442,1,0.06835319300262294
0.023870656456115774,0.017971287519976335,-0.11950386708303784,-0.049056420004730615,1,0.07044744707830722
-0.03696683552809625,0.01760020200753006,-0.17961403146285518,-0.11062123959333733,0,0.06899279186951784
-0.02632880692790711,0.01886601710978052,-0.17145700046307694,-0.09750221339273729,1,0.07395478707033964
0.03828930634374271,0.019502674231076267,-0.10808673514916678,-0.03163625216334781,0,0.07645048298581897
-0.01484492578836677,0.0376782148675918,-0.1968450269288467,-0.04914642464788685,1,0.14769860228095985
0.005252272621534132,0.017628582847237916,-0.1374505497590522,-0.06834650499787956,1,0.06910404476117263
0.0038987438762246585,0.021651209007465845,-0.1466884257784084,-0.06181568646914229,1,0.08487273930926612
-0.012849462354050933,0.017406288227045645,-0.15511658727906041,-0.08688393742904148,1,0.06823264985001894
-0.060165129540369025,0.018687731830923652,-0.2049438839289794,-0.13168797515175867,0,0.07325590877722071
-0.009426849974484147,0.016891149872332093,-0.15068430372425506,-0.08447099622471324,1,0.06621330749954182
-0.009777666715812885,0.022206853477581154,-0.16145389953187195,-0.07440303389975383,1,0.08705086563211811
0.007015357894148144,0.022033685932694735,-0.14432146653393355,-0.05794941767777018,1,0.08637204885616337
0.014479367114797692,0.018619953547666997,-0.13016654183862963,-0.057176323931775,1,0.07299021790685464
-0.0215953849056872,0.016935840143879905,-0.16294043158769184,-0.09655193822368259,1,0.06638849336400925
-0.0030155820731394556,0.01769115501550256,-0.14584104590352448,-0.07649171824275444,1,0.06934932766077004
0.0012828602497061553,0.017675398407505837,-0.1415117206290053,-0.07222415887158241,1,0.06928756175742289
-0.04055469270394814,0.016741155428136548,-0.1815181573430958,-0.1158928280648005,0,0.06562532927829529
-0.02297561659931792,0.019458730644193636,-0.16926552866193745,-0.0929873045366984,1,0.07627822412523905
-0.017896181562826394,0.020413203307292238,-0.1660568600451192,-0.08603710308053361,1,0.08001975696458558
-0.0029922002158683236,0.020025763931833897,-0.15039349752226278,-0.07189250290947388,1,0.0785009946127889
-0.06798278187968891,0.026670367974087075,-0.22840750310889957,-0.12385966065047825,0,0.10454784245842132
-0.011540780422986868,0.017708918062822713,-0.1544010598261194,-0.08498210101985436,1,0.06941895880626504
0.02246546820625253,0.02237256156928735,-0.12953555246955067,-0.041835111117944274,1,0.0877004413516064
0.011783779369792483,0.02610797112623778,-0.14753864403763356,-0.04519539722278147,1,0.10234324681485209
-0.02754061440488005,0.020434907949729932,-0.17574383398635074,-0.09563899482340939,1,0.08010483916294135
-0.01547682804284782,0.020666104890994245,-0.16413319362919654,-0.08312206245649911,1,0.08101113117269743
-0.016947428303521375,0.01819542888150707,-0.16076126891127523,-0.08943518769576753,1,0.07132608121550771
-0.037933879468416545,0.01666434097757946,-0.17874678778447228,-0.1134225711523608,0,0.06532421663211148
-0.005540482019026904,0.0203326192693485,-0.15354321578694996,-0.07383934825110385,1,0.07970386753584612
-0.02305277680871036,0.0175072675087683,-0.16551782112589622,-0.09688933249152451,1,0.06862848863437171
0.014115092359969938,0.017507074514627668,-0.12834957368870029,-0.05972184159135984,1,0.06862773209734044
-0.013618064436954375,0.017382611796985803,-0.15583878355904657,-0.0876989453148622,1,0.06813983824418436
0.0184039738495001,0.028158965456585697,-0.14493839844540787,-0.03455525385559194,1,0.11038314458981593
-0.022713559726360313,0.019799796228261148,-0.16967196033375218,-0.09205675911896846,1,0.07761520121478371
-0.004647211591795819,0.03135134864181325,-0.17424665492974978,-0.05134936825384186,1,0.12289728667590792
0.014236024041791528,0.01938631247176276,-0.1319119484028635,-0.05591760351355347,1,0.07599434488931003
-0.03310658677958743,0.01676014677676086,-0.17410727446203872,-0.10840749909713615,0,0.06569977536490257
0.0710759975288986,0.02828675758704572,-0.092516847341711,0.018367242399508203,0,0.11088408974121922
