sim_id 54: ml_ate=-0.0748 ml_ey1=0.2385 ml_ey0=0.3133   [54 this run, 24.7s/dataset]
sim_id 55: ml_ate=-0.0562 ml_ey1=0.2689 ml_ey0=0.3251   [55 this run, 24.9s/dataset]
sim_id 56: ml_ate=-0.1102 ml_ey1=0.2467 ml_ey0=0.3569   [56 this run, 25.2s/dataset]
sim_id 57: ml_ate=-0.0782 ml_ey1=0.2492 ml_ey0=0.3274   [57 this run, 25.3s/dataset]
sim_id 58: ml_ate=-0.0643 ml_ey1=0.2550 ml_ey0=0.3193   [58 this run, 25.5s/dataset]
sim_id 59: ml_ate=-0.0695 ml_ey1=0.2505 ml_ey0=0.3200   [59 this run, 25.6s/dataset]
sim_id 60: ml_ate=-0.0719 ml_ey1=0.2420 ml_ey0=0.3139   [60 this run, 25.6s/dataset]
sim_id 61: ml_ate=-0.0914 ml_ey1=0.2488 ml_ey0=0.3402   [61 this run, 25.7s/dataset]
sim_id 62: ml_ate=-0.0908 ml_ey1=0.2411 ml_ey0=0.3318   [62 this run, 25.8s/dataset]
sim_id 63: ml_ate=-0.0843 ml_ey1=0.2447 ml_ey0=0.3290   [63 this run, 25.9s/dataset]
sim_id 64: ml_ate=-0.0750 ml_ey1=0.2471 ml_ey0=0.3221   [64 this run, 26.0s/dataset]
sim_id 65: ml_ate=-0.0737 ml_ey1=0.2608 ml_ey0=0.3345   [65 this run, 26.1s/dataset]
sim_id 66: ml_ate=-0.0832 ml_ey1=0.2413 ml_ey0=0.3245   [66 this run, 26.2s/dataset]
sim_id 67: ml_ate=-0.0790 ml_ey1=0.2632 ml_ey0=0.3423   [67 this run, 26.3s/dataset]
sim_id 68: ml_ate=-0.0660 ml_ey1=0.2534 ml_ey0=0.3194   [68 this run, 26.4s/dataset]
sim_id 69: ml_ate=-0.0784 ml_ey1=0.2443 ml_ey0=0.3227   [69 this run, 26.4s/dataset]
sim_id 70: ml_ate=-0.0656 ml_ey1=0.2671 ml_ey0=0.3326   [70 this run, 26.6s/dataset]
sim_id 71: ml_ate=-0.0698 ml_ey1=0.2704 ml_ey0=0.3402   [71 this run, 26.7s/dataset]
sim_id 72: ml_ate=-0.1035 ml_ey1=0.2468 ml_ey0=0.3502   [72 this run, 26.7s/dataset]
sim_id 73: ml_ate=-0.0833 ml_ey1=0.2282 ml_ey0=0.3115   [73 this run, 26.8s/dataset]
sim_id 74: ml_ate=-0.0496 ml_ey1=0.2777 ml_ey0=0.3273   [74 this run, 26.9s/dataset]
sim_id 75: ml_ate=-0.0896 ml_ey1=0.2425 ml_ey0=0.3321   [75 this run, 26.9s/dataset]
sim_id 76: ml_ate=-0.1028 ml_ey1=0.2393 ml_ey0=0.3421   [76 this run, 27.0s/dataset]
sim_id 77: ml_ate=-0.0768 ml_ey1=0.2566 ml_ey0=0.3334   [77 this run, 27.0s/dataset]
sim_id 78: ml_ate=-0.0831 ml_ey1=0.2470 ml_ey0=0.3301   [78 this run, 27.1s/dataset]
sim_id 79: ml_ate=-0.0762 ml_ey1=0.2386 ml_ey0=0.3148   [79 this run, 27.1s/dataset]
sim_id 80: ml_ate=-0.0912 ml_ey1=0.2477 ml_ey0=0.3388   [80 this run, 27.2s/dataset]
sim_id 81: ml_ate=-0.0934 ml_ey1=0.2435 ml_ey0=0.3369   [81 this run, 27.3s/dataset]
sim_id 82: ml_ate=-0.1076 ml_ey1=0.2263 ml_ey0=0.3339   [82 this run, 27.3s/dataset]
sim_id 83: ml_ate=-0.1040 ml_ey1=0.2348 ml_ey0=0.3388   [83 this run, 27.4s/dataset]
sim_id 84: ml_ate=-0.0926 ml_ey1=0.2466 ml_ey0=0.3392   [84 this run, 27.5s/dataset]
sim_id 85: ml_ate=-0.0725 ml_ey1=0.2528 ml_ey0=0.3253   [85 this run, 27.5s/dataset]
sim_id 86: ml_ate=-0.0601 ml_ey1=0.2712 ml_ey0=0.3312   [86 this run, 27.6s/dataset]
sim_id 87: ml_ate=-0.0725 ml_ey1=0.2563 ml_ey0=0.3289   [87 this run, 27.6s/dataset]
sim_id 88: ml_ate=-0.1037 ml_ey1=0.2292 ml_ey0=0.3329   [88 this run, 27.7s/dataset]
sim_id 89: ml_ate=-0.0785 ml_ey1=0.2611 ml_ey0=0.3396   [89 this run, 27.7s/dataset]
sim_id 90: ml_ate=-0.0706 ml_ey1=0.2527 ml_ey0=0.3233   [90 this run, 27.8s/dataset]
sim_id 91: ml_ate=-0.0726 ml_ey1=0.2580 ml_ey0=0.3306   [91 this run, 27.8s/dataset]
sim_id 92: ml_ate=-0.0574 ml_ey1=0.2695 ml_ey0=0.3269   [92 this run, 27.9s/dataset]
sim_id 93: ml_ate=-0.0973 ml_ey1=0.2197 ml_ey0=0.3171   [93 this run, 27.9s/dataset]
sim_id 94: ml_ate=-0.0819 ml_ey1=0.2590 ml_ey0=0.3410   [94 this run, 27.9s/dataset]
sim_id 95: ml_ate=-0.0893 ml_ey1=0.2417 ml_ey0=0.3311   [95 this run, 28.0s/dataset]
sim_id 96: ml_ate=-0.0958 ml_ey1=0.2403 ml_ey0=0.3361   [96 this run, 28.0s/dataset]
sim_id 97: ml_ate=-0.0887 ml_ey1=0.2285 ml_ey0=0.3172   [97 this run, 28.0s/dataset]
sim_id 98: ml_ate=-0.1443 ml_ey1=0.1947 ml_ey0=0.3390   [98 this run, 28.1s/dataset]
sim_id 99: ml_ate=-0.0583 ml_ey1=0.2647 ml_ey0=0.3230   [99 this run, 28.1s/dataset]
sim_id 100: ml_ate=-0.0571 ml_ey1=0.2749 ml_ey0=0.3320   [100 this run, 28.2s/dataset]
sim_id 101: ml_ate=-0.0845 ml_ey1=0.2620 ml_ey0=0.3465   [101 this run, 28.3s/dataset]
sim_id 102: ml_ate=-0.0586 ml_ey1=0.2776 ml_ey0=0.3362   [102 this run, 28.3s/dataset]
sim_id 103: ml_ate=-0.0871 ml_ey1=0.2402 ml_ey0=0.3273   [103 this run, 28.4s/dataset]
sim_id 104: ml_ate=-0.0769 ml_ey1=0.2499 ml_ey0=0.3267   [104 this run, 28.4s/dataset]
sim_id 105: ml_ate=-0.0880 ml_ey1=0.2327 ml_ey0=0.3207   [105 this run, 28.4s/dataset]
sim_id 106: ml_ate=-0.0967 ml_ey1=0.2268 ml_ey0=0.3235   [106 this run, 28.4s/dataset]
sim_id 107: ml_ate=-0.0763 ml_ey1=0.2609 ml_ey0=0.3372   [107 this run, 28.5s/dataset]
sim_id 108: ml_ate=-0.0808 ml_ey1=0.2382 ml_ey0=0.3190   [108 this run, 28.5s/dataset]
sim_id 109: ml_ate=-0.0847 ml_ey1=0.2548 ml_ey0=0.3395   [109 this run, 28.5s/dataset]
sim_id 110: ml_ate=-0.0875 ml_ey1=0.2453 ml_ey0=0.3328   [110 this run, 28.6s/dataset]
sim_id 111: ml_ate=-0.0913 ml_ey1=0.2595 ml_ey0=0.3508   [111 this run, 28.6s/dataset]
sim_id 112: ml_ate=-0.1067 ml_ey1=0.2375 ml_ey0=0.3443   [112 this run, 28.6s/dataset]
sim_id 113: ml_ate=-0.0906 ml_ey1=0.2401 ml_ey0=0.3307   [113 this run, 28.6s/dataset]
sim_id 114: ml_ate=-0.0924 ml_ey1=0.2537 ml_ey0=0.3461   [114 this run, 28.7s/dataset]
sim_id 115: ml_ate=-0.0458 ml_ey1=0.2634 ml_ey0=0.3093   [115 this run, 28.7s/dataset]
sim_id 116: ml_ate=-0.0763 ml_ey1=0.2421 ml_ey0=0.3184   [116 this run, 28.7s/dataset]
sim_id 117: ml_ate=-0.0938 ml_ey1=0.2652 ml_ey0=0.3590   [117 this run, 28.8s/dataset]
sim_id 118: ml_ate=-0.0854 ml_ey1=0.2523 ml_ey0=0.3377   [118 this run, 28.8s/dataset]
sim_id 119: ml_ate=-0.1037 ml_ey1=0.2330 ml_ey0=0.3367   [119 this run, 28.8s/dataset]
sim_id 120: ml_ate=-0.0760 ml_ey1=0.2497 ml_ey0=0.3257   [120 this run, 28.9s/dataset]
sim_id 121: ml_ate=-0.0776 ml_ey1=0.2575 ml_ey0=0.3351   [121 this run, 28.9s/dataset]
sim_id 122: ml_ate=-0.0597 ml_ey1=0.2722 ml_ey0=0.3320   [122 this run, 28.9s/dataset]
sim_id 123: ml_ate=-0.1095 ml_ey1=0.2308 ml_ey0=0.3403   [123 this run, 28.9s/dataset]
sim_id 124: ml_ate=-0.0389 ml_ey1=0.2702 ml_ey0=0.3090   [124 this run, 28.9s/dataset]
sim_id 125: ml_ate=-0.0441 ml_ey1=0.2754 ml_ey0=0.3195   [125 this run, 28.9s/dataset]
sim_id 126: ml_ate=-0.0805 ml_ey1=0.2465 ml_ey0=0.3271   [126 this run, 29.0s/dataset]
sim_id 127: ml_ate=-0.0704 ml_ey1=0.2632 ml_ey0=0.3336   [127 this run, 29.0s/dataset]
sim_id 128: ml_ate=-0.0836 ml_ey1=0.2338 ml_ey0=0.3175   [128 this run, 29.0s/dataset]
sim_id 129: ml_ate=-0.0856 ml_ey1=0.2434 ml_ey0=0.3290   [129 this run, 29.1s/dataset]
sim_id 130: ml_ate=-0.0809 ml_ey1=0.2403 ml_ey0=0.3212   [130 this run, 29.1s/dataset]
sim_id 131: ml_ate=-0.1072 ml_ey1=0.2332 ml_ey0=0.3404   [131 this run, 29.1s/dataset]
sim_id 132: ml_ate=-0.0914 ml_ey1=0.2281 ml_ey0=0.3195   [132 this run, 29.1s/dataset]
sim_id 133: ml_ate=-0.0949 ml_ey1=0.2443 ml_ey0=0.3392   [133 this run, 29.1s/dataset]
sim_id 134: ml_ate=-0.0688 ml_ey1=0.2460 ml_ey0=0.3148   [134 this run, 29.1s/dataset]
sim_id 135: ml_ate=-0.0753 ml_ey1=0.2583 ml_ey0=0.3337   [135 this run, 29.2s/dataset]
sim_id 136: ml_ate=-0.1074 ml_ey1=0.2326 ml_ey0=0.3400   [136 this run, 29.2s/dataset]
sim_id 137: ml_ate=-0.1113 ml_ey1=0.2173 ml_ey0=0.3286   [137 this run, 29.3s/dataset]
sim_id 138: ml_ate=-0.1100 ml_ey1=0.2269 ml_ey0=0.3368   [138 this run, 29.3s/dataset]
sim_id 139: ml_ate=-0.0913 ml_ey1=0.2275 ml_ey0=0.3188   [139 this run, 29.3s/dataset]
sim_id 140: ml_ate=-0.0747 ml_ey1=0.2485 ml_ey0=0.3231   [140 this run, 29.2s/dataset]
sim_id 141: ml_ate=-0.0664 ml_ey1=0.2737 ml_ey0=0.3401   [141 this run, 29.2s/dataset]
sim_id 142: ml_ate=-0.1019 ml_ey1=0.2294 ml_ey0=0.3313   [142 this run, 29.2s/dataset]
sim_id 143: ml_ate=-0.0937 ml_ey1=0.2339 ml_ey0=0.3277   [143 this run, 29.1s/dataset]
sim_id 144: ml_ate=-0.0625 ml_ey1=0.2801 ml_ey0=0.3426   [144 this run, 29.1s/dataset]
sim_id 145: ml_ate=-0.0755 ml_ey1=0.2470 ml_ey0=0.3225   [145 this run, 29.0s/dataset]
sim_id 146: ml_ate=-0.0965 ml_ey1=0.2417 ml_ey0=0.3383   [146 this run, 29.0s/dataset]
sim_id 147: ml_ate=-0.0843 ml_ey1=0.2573 ml_ey0=0.3416   [147 this run, 28.9s/dataset]
sim_id 148: ml_ate=-0.0999 ml_ey1=0.2203 ml_ey0=0.3202   [148 this run, 28.9s/dataset]
sim_id 149: ml_ate=-0.0882 ml_ey1=0.2339 ml_ey0=0.3221   [149 this run, 28.9s/dataset]
sim_id 150: ml_ate=-0.0590 ml_ey1=0.2604 ml_ey0=0.3194   [150 this run, 28.9s/dataset]
sim_id 151: ml_ate=-0.0745 ml_ey1=0.2437 ml_ey0=0.3183   [151 this run, 28.9s/dataset]
sim_id 152: ml_ate=-0.0899 ml_ey1=0.2268 ml_ey0=0.3167   [152 this run, 28.8s/dataset]
