sim_id 501: ml_ate=-0.0854 ml_ey1=0.2388 ml_ey0=0.3242   [1 this run, 2.8s/dataset]
sim_id 502: ml_ate=-0.0739 ml_ey1=0.2503 ml_ey0=0.3243   [2 this run, 2.7s/dataset]
sim_id 503: ml_ate=-0.0702 ml_ey1=0.2490 ml_ey0=0.3192   [3 this run, 2.7s/dataset]
sim_id 504: ml_ate=-0.0552 ml_ey1=0.2897 ml_ey0=0.3448   [4 this run, 2.7s/dataset]
sim_id 505: ml_ate=-0.0419 ml_ey1=0.2906 ml_ey0=0.3325   [5 this run, 2.6s/dataset]
sim_id 506: ml_ate=-0.0634 ml_ey1=0.2571 ml_ey0=0.3205   [6 this run, 2.6s/dataset]
sim_id 507: ml_ate=-0.0530 ml_ey1=0.2752 ml_ey0=0.3282   [7 this run, 2.6s/dataset]
sim_id 508: ml_ate=-0.0675 ml_ey1=0.2561 ml_ey0=0.3237   [8 this run, 2.6s/dataset]
sim_id 509: ml_ate=-0.0887 ml_ey1=0.2442 ml_ey0=0.3329   [9 this run, 2.6s/dataset]
sim_id 510: ml_ate=-0.0505 ml_ey1=0.2612 ml_ey0=0.3117   [10 this run, 2.6s/dataset]
sim_id 511: ml_ate=-0.0784 ml_ey1=0.2408 ml_ey0=0.3192   [11 this run, 2.6s/dataset]
sim_id 512: ml_ate=-0.0795 ml_ey1=0.2464 ml_ey0=0.3259   [12 this run, 2.6s/dataset]
sim_id 513: ml_ate=-0.0930 ml_ey1=0.2299 ml_ey0=0.3230   [13 this run, 2.6s/dataset]
sim_id 514: ml_ate=-0.0983 ml_ey1=0.2343 ml_ey0=0.3326   [14 this run, 2.6s/dataset]
sim_id 515: ml_ate=-0.0412 ml_ey1=0.2838 ml_ey0=0.3251   [15 this run, 2.6s/dataset]
sim_id 516: ml_ate=-0.0794 ml_ey1=0.2465 ml_ey0=0.3259   [16 this run, 2.6s/dataset]
sim_id 517: ml_ate=-0.0719 ml_ey1=0.2464 ml_ey0=0.3183   [17 this run, 2.7s/dataset]
sim_id 518: ml_ate=-0.0799 ml_ey1=0.2587 ml_ey0=0.3386   [18 this run, 2.7s/dataset]
sim_id 519: ml_ate=-0.0706 ml_ey1=0.2523 ml_ey0=0.3228   [19 this run, 2.9s/dataset]
sim_id 520: ml_ate=-0.0368 ml_ey1=0.2871 ml_ey0=0.3239   [20 this run, 3.0s/dataset]
sim_id 521: ml_ate=-0.0757 ml_ey1=0.2636 ml_ey0=0.3393   [21 this run, 3.1s/dataset]
sim_id 522: ml_ate=-0.0788 ml_ey1=0.2499 ml_ey0=0.3286   [22 this run, 3.1s/dataset]
sim_id 523: ml_ate=-0.0636 ml_ey1=0.2786 ml_ey0=0.3423   [23 this run, 3.2s/dataset]
sim_id 524: ml_ate=-0.0646 ml_ey1=0.2639 ml_ey0=0.3285   [24 this run, 3.2s/dataset]
sim_id 525: ml_ate=-0.0726 ml_ey1=0.2609 ml_ey0=0.3335   [25 this run, 3.2s/dataset]
sim_id 526: ml_ate=-0.0431 ml_ey1=0.2776 ml_ey0=0.3207   [26 this run, 3.2s/dataset]
sim_id 527: ml_ate=-0.0763 ml_ey1=0.2457 ml_ey0=0.3220   [27 this run, 3.3s/dataset]
sim_id 528: ml_ate=-0.0743 ml_ey1=0.2507 ml_ey0=0.3250   [28 this run, 3.3s/dataset]
sim_id 529: ml_ate=-0.0601 ml_ey1=0.2568 ml_ey0=0.3169   [29 this run, 3.3s/dataset]
sim_id 530: ml_ate=-0.0736 ml_ey1=0.2487 ml_ey0=0.3223   [30 this run, 3.3s/dataset]
sim_id 531: ml_ate=-0.0678 ml_ey1=0.2763 ml_ey0=0.3441   [31 this run, 3.3s/dataset]
sim_id 532: ml_ate=-0.0711 ml_ey1=0.2492 ml_ey0=0.3203   [32 this run, 3.3s/dataset]
sim_id 533: ml_ate=-0.0512 ml_ey1=0.2691 ml_ey0=0.3204   [33 this run, 3.3s/dataset]
sim_id 534: ml_ate=-0.0681 ml_ey1=0.2552 ml_ey0=0.3232   [34 this run, 3.2s/dataset]
