sim_id,true_gcomp_e0,true_gcomp_se,true_ipw_e0,true_ipw_se,true_aipw_e0,true_aipw_se,true_tmle_e0,true_tmle_se,true_scaipw_e0,true_scaipw_se,true_sctmle_e0,true_sctmle_se,main_gcomp_e0,main_gcomp_se,main_ipw_e0,main_ipw_se,main_aipw_e0,main_aipw_se,main_tmle_e0,main_tmle_se,main_scaipw_e0,main_scaipw_se,main_sctmle_e0,main_sctmle_se,ml_gcomp_e0,ml_gcomp_se,ml_ipw_e0,ml_ipw_se,ml_aipw_e0,ml_aipw_se,ml_tmle_e0,ml_tmle_se,ml_scaipw_e0,ml_scaipw_se,ml_sctmle_e0,ml_sctmle_se
1,0.35360558658483177,,0.34802257508462037,0.0269892080582398,0.356725088572116,0.015062340058573173,0.35574197318953427,0.014623299135032169,0.3939908801207995,0.05764628502731979,0.3525143566908245,0.016961514033963225,0.3557283022716036,,0.34300453589772234,0.020671213137269093,0.3611172245237461,0.017231732964231805,0.3595473898128189,0.0169940600480469,0.30978350380269626,0.07277263825783258,0.3507604995912251,0.05260681948983004,0.3338142898336673,,0.3515717111391754,0.02649062011528543,0.35728047420540354,0.02018839105408337,0.35172430220083933,0.01446304584718603,0.36036273479630376,0.028943438510337764,0.347549058127312,0.018132135849222526
2,0.3424832123796666,,0.35725447823408385,0.03276514850655987,0.3486527892942792,0.014288156418394909,0.3483396429560587,0.013735382206635645,0.32966655643937937,0.019258125088999923,0.343161926709619,0.02391503835012071,0.3520321075570128,,0.35631626874745326,0.02330558010746342,0.3538620795026933,0.015761447939829396,0.35390028912519167,0.01575833067518989,0.3264980014964021,0.06967076440624789,0.36563411788723926,0.0726504315401859,0.3201460898226363,,0.3473607307388896,0.025629257454810997,0.34466995276722595,0.016831307321820647,0.3485449245160128,0.014175886498182026,0.4593520901002003,0.06690317507728713,0.35143168851955964,0.040105297006867005
3,0.34731955869173303,,0.3397866572144785,0.01897036722979695,0.3541201757911549,0.016382678831116045,0.35530060303136735,0.01589415959488072,0.3607102057870743,0.03264038592168221,0.32901070163272883,0.03246130898336289,0.351922429741476,,0.32956877147346064,0.018600375671580252,0.3461428927300622,0.01828233823978377,0.3474105685183894,0.01804863869767743,0.1720031606234769,0.12028306400064633,0.35493965872646976,0.021130860742954633,0.3328041300140031,,0.3376607879560457,0.0179215062227444,0.3465258501511362,0.015852436250756927,0.35238658720707905,0.015284861228228138,0.3561266514887722,0.029535197139707373,0.35063882121793655,0.01713556052331928
4,0.341459116016907,,0.34013514011648055,0.018816564700050813,0.34332421083160064,0.016038022075525727,0.34377648716903847,0.0160275974552126,0.3547099003678274,0.016244502141289148,0.34237717337999146,0.015939778213470222,0.35344293595829945,,0.35930708139926815,0.02143949913842967,0.35546847492753675,0.01834856256348417,0.3549959358952292,0.018306964769967744,0.3289285141318702,0.035420293915084416,0.3502114339572948,0.03831795072733585,0.3248816208660914,,0.3363071378770609,0.01810234183340241,0.3375108707360706,0.016867709529832232,0.3402500959612039,0.017431828246928124,0.34181471129436325,0.016683231774673325,0.3397344877226337,0.015285983505702877
5,0.33229086822625437,,0.3103124223543345,0.019090004456299315,0.3358457404759719,0.015527393214009911,0.3354293466603627,0.015228069253925043,0.3321330240821366,0.02643695667423423,0.31555102299627547,0.022578732164258722,0.3364347120523396,,0.31502748924831137,0.017858866793961942,0.3343347388641273,0.01658060622152666,0.3346582247652228,0.016557422378450048,0.35172620144951044,0.032852075160004074,0.3345728680311332,0.020871230073940896,0.3075445124398361,,0.31930950040176787,0.021914625139000474,0.3329704091549202,0.021025618207179977,0.33656106734394325,0.015158844862030004,0.3188110621062816,0.015475705836740001,0.31848991985220315,0.015479146427452161
6,0.36073787217463077,,0.35912490587860857,0.023079803596333815,0.35682727920957286,0.015204920743632487,0.35697969013831776,0.014893115756904612,0.5120962155194276,0.08839844110708495,0.3557073327145343,0.07487338522243911,0.37388313240601595,,0.37041856131995643,0.020487829550474547,0.37699929861614534,0.016279104333320832,0.3763771069113827,0.01618628949869302,0.670760517838926,0.1442820355622531,0.3856206547135225,0.10038935731359674,0.3477264169493472,,0.352427850491016,0.019901403578819966,0.35873464099307467,0.014992575260624098,0.3602396054788617,0.015042698166400645,0.6462948271337506,0.13779712888436108,0.37476738400785903,0.08297853816590167
7,0.3290937824657138,,0.31679737902581445,0.027837676372072725,0.33305577782773205,0.020992561620423622,0.3330529552104016,0.01981021254567823,0.18050970730134072,0.09489681082497187,0.3096145905343324,0.016459044633287623,0.3461742447924756,,0.3403070582449461,0.020295999870073,0.34753930724820015,0.016033542366905514,0.34752275912516395,0.016025628910611246,0.46808834772949165,0.0958987458048405,0.3343334232455501,0.023768743503999296,0.31525900899147513,,0.31105513236392124,0.018330707433952962,0.3232192690565354,0.015581285751727956,0.32785081306796604,0.015432896879359545,0.3487172275876877,0.024372830674760072,0.3424689922702232,0.019819975308364535
8,0.3525163709220708,,0.3464102948321306,0.022906084832572095,0.352172390762918,0.016399690572493707,0.3521381609331547,0.016404400932187046,0.36036231638683763,0.01743322188151858,0.3476081400791118,0.01587650878464399,0.356419414923423,,0.34792588487444503,0.020984658102527493,0.3579002086343015,0.017281500155586892,0.35777690360010866,0.01725963580517364,0.3654902914439846,0.03280675062493375,0.3598634350254942,0.022939721001842096,0.3356755411556902,,0.3309938664195406,0.017828993595285673,0.3438158669601236,0.015085165946861089,0.346474503389206,0.015113448637354589,0.33988417951726874,0.015863456123852,0.34335447760359716,0.015140586670705385
9,0.3611571190650096,,0.3515933838597398,0.02210666159596971,0.3600008130065832,0.014581194654172458,0.3599485545560892,0.014582100579024376,0.34752206167053207,0.022476931076069195,0.3566525701539932,0.024119392145637995,0.36233381707128326,,0.3731485564121035,0.0321394844594039,0.3487945810174116,0.04243707447254961,0.3583111235072018,0.040549134762630855,0.30682043991376495,0.07793868146121137,0.36699261887252516,0.07641709449212503,0.3313287482902909,,0.3434473842905185,0.018243952301425812,0.3473018797012655,0.014510275845970621,0.35467294439704405,0.014113551469401507,0.36656353272382936,0.03170968078135882,0.3539509536339292,0.01769338661825097
10,0.33123767749535915,,0.3129248864478629,0.018909947996187986,0.33429278146245806,0.014021983714177195,0.3348570879955125,0.013923710670714731,0.3116808065360632,0.034665239265325165,0.26130449901914504,0.023604951010909425,0.32801526600659237,,0.3205819083688493,0.0189520404077547,0.3322800282096723,0.01602751238840337,0.33192228735214824,0.015860821301353807,0.3817310840697029,0.04608002707285142,0.3363949727959313,0.02921439820953518,0.3045672034003441,,0.31380110964695235,0.016707162559571765,0.3224107715012763,0.014352279261988772,0.3318410046007353,0.013802973461632171,0.3164192472079415,0.01564649107035601,0.31846398262020154,0.01537957114763721
