sim_id,true_ey1,true_ey0,true_ate,main_ey1,main_ey0,main_ate,ml_ey1,ml_ey0,ml_ate
501,0.22101032923674946,0.34019525787387794,-0.11918492863712848,0.20834512592530127,0.34883220651176844,-0.14048708058646717,0.22940849190808968,0.3251620635932094,-0.09575357168511975
502,0.22729778862266256,0.3376625624834011,-0.11036477386073854,0.21952003287130492,0.34376699710958514,-0.12424696423828022,0.2432088675791071,0.32473668040367876,-0.08152781282457167
503,0.22432009534741898,0.33417565940481436,-0.10985556405739538,0.21483473580856352,0.340350763861504,-0.12551602805294046,0.23653792289273998,0.32152979502840323,-0.08499187213566325
504,0.2613387790348609,0.35755726991991027,-0.09621849088504936,0.24952000167686264,0.3647297441215768,-0.11520974244471419,0.27502454148603717,0.34660394124842137,-0.0715793997623842
505,0.25760988413249214,0.3471382157470445,-0.08952833161455237,0.24073557725378006,0.35499663434210066,-0.1142610570883206,0.2753096365335722,0.33408193762422284,-0.058772301090650625
506,0.22813494053162878,0.3336949583305766,-0.10556001779894783,0.2212835383416406,0.3398868137023275,-0.11860327536068688,0.2484846839692835,0.3210126290832893,-0.07252794511400582
507,0.2500587613870789,0.340017703092728,-0.08995894170564911,0.22721584874127113,0.3513590231094628,-0.1241431743681917,0.26229117045387157,0.32918642512396107,-0.0668952546700895
508,0.242626261842317,0.336726372978085,-0.094100111135768,0.22488463650158247,0.34747371091997564,-0.12258907441839317,0.24637601233250003,0.3267608012936869,-0.08038478896118686
509,0.22937564559737636,0.34743971602473595,-0.11806407042735959,0.21555859136614838,0.3557069075194629,-0.1401483161533145,0.23536921673482383,0.33557836965371446,-0.10020915291889063
510,0.248784177225745,0.32119443161355404,-0.07241025438780904,0.22857911925611993,0.33075925162383263,-0.1021801323677127,0.25594979318676836,0.31092344176546266,-0.0549736485786943
511,0.2286132964201323,0.3333199483413155,-0.1047066519211832,0.21465182364093532,0.34115207753937954,-0.12650025389844421,0.2336149584550371,0.3194258547049109,-0.08581089624987381
512,0.21409321810926668,0.33979865506975715,-0.12570543696049047,0.2007074846881624,0.35042703266693587,-0.14971954797877346,0.23330378062283583,0.3254151206117262,-0.0921113399888904
513,0.20565106208956815,0.33745806458137784,-0.13180700249180968,0.19213190851262682,0.34705320698247527,-0.15492129846984845,0.2211590410249999,0.3201390785263199,-0.09898003750132
514,0.21140430308829858,0.34650885215707555,-0.13510454906877697,0.2022140168788772,0.35220909277626306,-0.14999507589738587,0.22341589884278892,0.33280188112791137,-0.10938598228512245
515,0.24531799476764876,0.339891055181878,-0.09457306041422925,0.23286381016192786,0.34733013135847013,-0.11446632119654226,0.2665538482264837,0.3265770891264854,-0.06002324090000172
516,0.21672119808505674,0.3431775106018014,-0.12645631251674466,0.19919734472034434,0.35429384974709727,-0.15509650502675293,0.2326185163027755,0.3284204184900718,-0.09580190218729631
517,0.22350628438805806,0.33308121612978575,-0.1095749317417277,0.21505087740087922,0.33877540252361166,-0.12372452512273244,0.23570099742274547,0.32037532812724884,-0.08467433070450336
