method,n_nan,bias,ese,ase,rmse,cover_own,cover_true
IPW,0,0.011455034761223407,0.021006624492354208,0.0227151374753429,0.023926890603327717,0.937,0.915
G-computation (no BS),0,0.026403918719901956,0.016704798543154986,,0.03124447500174362,,0.64
AIPW,0,0.004304235660215053,0.019249469488739172,0.016632694059750746,0.01972481990327332,0.908,0.948
TMLE,0,-0.0014202271031603514,0.02010675636013342,0.016480777836218492,0.020156852342325598,0.901,0.952
AIPW 5-fold cross-fit,0,-0.0028960290897673407,0.023480240683116393,0.022067093947264062,0.02365816322172651,0.935,0.952
TMLE 5-fold cross-fit,0,0.0008294099253809001,0.02048080830068834,0.020464722313310146,0.020497595699834278,0.938,0.956
