estimand,spec,bias,rmse,ese,cld,coverage
E(Y^1),True,0.0003,0.0145,0.0145,0.057,0.955
E(Y^1),Main-effects,-0.0118,0.0187,0.0146,0.0572,0.878
E(Y^1),Machine learning,-0.0008,0.0164,0.0164,0.0643,0.958
E(Y^0),True,-0.0002,0.0116,0.0116,0.0455,0.957
E(Y^0),Main-effects,0.0076,0.0138,0.0116,0.0454,0.9
E(Y^0),Machine learning,-0.0174,0.0211,0.012,0.0469,0.686
ATE,True,0.0005,0.0183,0.0183,0.0716,0.946
ATE,Main-effects,-0.0193,0.0265,0.0182,0.0715,0.819
ATE,Machine learning,0.0167,0.0259,0.0198,0.0776,0.853
