sim_id 554: ml_ate=-0.0964 ml_ey1=0.2261 ml_ey0=0.3225   [54 this run, 24.8s/dataset]
sim_id 555: ml_ate=-0.0503 ml_ey1=0.2685 ml_ey0=0.3188   [55 this run, 25.0s/dataset]
sim_id 556: ml_ate=-0.0774 ml_ey1=0.2377 ml_ey0=0.3151   [56 this run, 25.3s/dataset]
sim_id 557: ml_ate=-0.0948 ml_ey1=0.2329 ml_ey0=0.3277   [57 this run, 25.4s/dataset]
sim_id 558: ml_ate=-0.1189 ml_ey1=0.2307 ml_ey0=0.3496   [58 this run, 25.6s/dataset]
sim_id 559: ml_ate=-0.0799 ml_ey1=0.2423 ml_ey0=0.3222   [59 this run, 25.7s/dataset]
sim_id 560: ml_ate=-0.1028 ml_ey1=0.2213 ml_ey0=0.3241   [60 this run, 25.8s/dataset]
sim_id 561: ml_ate=-0.0847 ml_ey1=0.2497 ml_ey0=0.3344   [61 this run, 25.9s/dataset]
sim_id 562: ml_ate=-0.1059 ml_ey1=0.2423 ml_ey0=0.3482   [62 this run, 26.0s/dataset]
sim_id 563: ml_ate=-0.0888 ml_ey1=0.2464 ml_ey0=0.3351   [63 this run, 26.0s/dataset]
sim_id 564: ml_ate=-0.0436 ml_ey1=0.2669 ml_ey0=0.3105   [64 this run, 26.1s/dataset]
sim_id 565: ml_ate=-0.0621 ml_ey1=0.2745 ml_ey0=0.3367   [65 this run, 26.2s/dataset]
sim_id 566: ml_ate=-0.0832 ml_ey1=0.2470 ml_ey0=0.3302   [66 this run, 26.3s/dataset]
sim_id 567: ml_ate=-0.0563 ml_ey1=0.2703 ml_ey0=0.3266   [67 this run, 26.3s/dataset]
sim_id 568: ml_ate=-0.0815 ml_ey1=0.2466 ml_ey0=0.3281   [68 this run, 26.4s/dataset]
sim_id 569: ml_ate=-0.0554 ml_ey1=0.2514 ml_ey0=0.3068   [69 this run, 26.5s/dataset]
sim_id 570: ml_ate=-0.1162 ml_ey1=0.2297 ml_ey0=0.3459   [70 this run, 26.6s/dataset]
sim_id 571: ml_ate=-0.0550 ml_ey1=0.2745 ml_ey0=0.3295   [71 this run, 26.7s/dataset]
sim_id 572: ml_ate=-0.0840 ml_ey1=0.2513 ml_ey0=0.3354   [72 this run, 26.7s/dataset]
sim_id 573: ml_ate=-0.0695 ml_ey1=0.2453 ml_ey0=0.3148   [73 this run, 26.7s/dataset]
sim_id 574: ml_ate=-0.0614 ml_ey1=0.2723 ml_ey0=0.3336   [74 this run, 26.8s/dataset]
sim_id 575: ml_ate=-0.0818 ml_ey1=0.2402 ml_ey0=0.3220   [75 this run, 26.8s/dataset]
sim_id 576: ml_ate=-0.0444 ml_ey1=0.2709 ml_ey0=0.3153   [76 this run, 26.9s/dataset]
sim_id 577: ml_ate=-0.0532 ml_ey1=0.2616 ml_ey0=0.3148   [77 this run, 27.0s/dataset]
sim_id 578: ml_ate=-0.0720 ml_ey1=0.2358 ml_ey0=0.3078   [78 this run, 27.0s/dataset]
sim_id 579: ml_ate=-0.1023 ml_ey1=0.2351 ml_ey0=0.3374   [79 this run, 27.0s/dataset]
sim_id 580: ml_ate=-0.0900 ml_ey1=0.2401 ml_ey0=0.3301   [80 this run, 27.1s/dataset]
sim_id 581: ml_ate=-0.0940 ml_ey1=0.2292 ml_ey0=0.3232   [81 this run, 27.2s/dataset]
sim_id 582: ml_ate=-0.0778 ml_ey1=0.2495 ml_ey0=0.3273   [82 this run, 27.2s/dataset]
sim_id 583: ml_ate=-0.0850 ml_ey1=0.2367 ml_ey0=0.3217   [83 this run, 27.3s/dataset]
sim_id 584: ml_ate=-0.0714 ml_ey1=0.2649 ml_ey0=0.3363   [84 this run, 27.3s/dataset]
sim_id 585: ml_ate=-0.1056 ml_ey1=0.2216 ml_ey0=0.3272   [85 this run, 27.4s/dataset]
