bias,std,lcl,ucl,cover,cld
-0.016054542028695856,0.017978279243769508,-0.1594427693464841,-0.08896791471090762,1,0.07047485463557648
-0.0048935940673963535,0.018031878373097138,-0.14838687567866676,-0.07770191245612597,1,0.0706849632225408
-0.024860075238953325,0.0186798562519972,-0.16962339349286784,-0.09639835698503882,1,0.07322503650782902
-0.026033588881498773,0.017411417515150348,-0.16831076721119345,-0.1000580105518041,1,0.06825275665938935
0.022958524939417357,0.017914292578235885,-0.12030428851392498,-0.050080261607240315,1,0.07022402690668467
-0.03625329255462616,0.0175450645191627,-0.17879241901218507,-0.11001576609706726,0,0.06877665291511781
-0.020715187190300896,0.0184623993250865,-0.16505228986747045,-0.09267968451313136,1,0.07237260535433909
0.03649434720963668,0.019378422217513496,-0.10963816033668977,-0.03367474524403687,1,0.07596341509265289
-0.005415439417848819,0.03730364827420359,-0.18668139003528786,-0.04045108880040979,1,0.14623030123487807
0.003389813666442573,0.017560849969687552,-0.13918025227414504,-0.07034172039296982,1,0.06883853188117522
-0.006832542006238965,0.021073390866179167,-0.15628718810395015,-0.07367949590852779,1,0.08260769219542236
-0.01280803028531996,0.017395855742282924,-0.1550547075401945,-0.08686295303044544,1,0.06819175450974904
-0.06648188315663157,0.018953183312172103,-0.2117809224484889,-0.13748444386477426,0,0.07429647858371463
-0.009207778869135055,0.016810603986121074,-0.15030736268193237,-0.08440979505633775,1,0.06589756762559462
-0.003678271014275425,0.021643703662705408,-0.15425073019317803,-0.06940741183537283,1,0.0848433183578052
-0.0008551641132590188,0.022312505021901328,-0.15273847395618562,-0.06527345427033243,1,0.08746501968585318
0.013750027371067841,0.018622529870161147,-0.130900931174448,-0.05790061408341632,1,0.07300031709103169
-0.022569819157604462,0.016939465498692727,-0.1639219715350422,-0.09751926678016673,1,0.06640270475487547
-0.0031030182638496634,0.01768140580069924,-0.14590937363322018,-0.07659826289447916,1,0.06931111073874102
0.001125415713754796,0.017665681100765718,-0.14165011924374601,-0.0724006493287444,1,0.06924946991500161
-0.040624622691245546,0.01674432836489173,-0.18159430628643336,-0.11595653909605776,0,0.0656377671903756
-0.02303203370775421,0.019467790855678038,-0.16933970378488317,-0.09302596363062526,1,0.0763137401542579
-0.022058968780747937,0.0202486039694658,-0.1698970325609009,-0.09052250500059497,1,0.07937452756030594
-0.006648506441273225,0.019962629036276786,-0.15392605935237574,-0.07567255353017073,1,0.07825350582220501
-0.04851280934760181,0.02501004486068589,-0.20568329727454615,-0.10764392142065748,1,0.09803937585388867
-0.011824759782726041,0.017697550705781467,-0.1546627591660577,-0.08528836039939437,1,0.06937439876666333
0.018006764033542233,0.022129791452965446,-0.13351842721427004,-0.046769644718645496,1,0.08674878249562454
0.02074703358700325,0.024808131921300654,-0.13602770497874603,-0.038779827847247476,1,0.09724787713149854
-0.024151220482699007,0.02005607904837568,-0.17161193541751535,-0.09299210554788268,1,0.07861982986963267
-0.004687745956152595,0.019767873051418593,-0.15158357713693305,-0.07409351477537215,1,0.07749006236156089
-0.01879197071654999,0.01819272899349353,-0.1626005195437973,-0.09128502188930268,1,0.07131549765449463
-0.038000385128319866,0.016641093586322014,-0.17876772855751102,-0.11353464169912872,0,0.0652330868583823
0.0013953931774594447,0.019492214471148638,-0.1449601471859919,-0.06855066645908922,1,0.07640948072690268
-0.023129430081077693,0.01750763274284574,-0.16559519025705535,-0.09696526990510004,1,0.06862992035195531
0.01419584055776174,0.01749733010746794,-0.1282497264528754,-0.0596601924316011,1,0.06858953402127431
-0.013544705801620885,0.017368700389984202,-0.15573815856598994,-0.08765285303725186,1,0.06808530552873808
0.0008923155460569543,0.026476513177413095,-0.1591524502816727,-0.05536451862621339,1,0.10378793165545933
-0.021452924787689884,0.019721710543320177,-0.16825827745259744,-0.09094917212278233,1,0.07730910532981511
-0.01399551543517806,0.03159309527680272,-0.1840687821777114,-0.06022384869264473,1,0.12384493348506666
0.010613176321150664,0.01925604528925767,-0.13527947244579436,-0.05979577491190431,1,0.07548369753389005
-0.033228439593424655,0.016758913542419054,-0.17422671013656602,-0.1085317690502833,0,0.06569494108628271
0.03729548195974201,0.0246816867906509,-0.11923142414993376,-0.02247921193058223,1,0.09675221221935154
-0.010083964791572989,0.017474873084770238,-0.15248551603772265,-0.08398401354542333,1,0.06850150249229932
0.0016238337878872744,0.017712500313040228,-0.14124346682567157,-0.07181046559855389,1,0.06943300122711768
-0.008272089346297098,0.01789287853631253,-0.15149293127746966,-0.08135284741512455,1,0.0701400838623451
-0.027832034682145915,0.017343525044579765,-0.16997614376952225,-0.10198952559476958,1,0.06798661817475267
-0.043425037195545954,0.019241986783199466,-0.18929013129061692,-0.113861543100475,0,0.07542858819014192
-0.03175730968082237,0.01721390171421961,-0.1736473570406928,-0.10616886232095193,1,0.06747849471974088
-0.012586168114441187,0.017813618340635058,-0.15565166006208592,-0.08582227616679648,1,0.06982938389528943
0.0019458171077107872,0.01789082594099463,-0.1412710017366387,-0.07113896404793975,1,0.07013203768869895
-0.018261622229094956,0.017713760320346862,-0.1611313924569748,-0.09169345200121512,1,0.06943794045575968
-0.016594137594659872,0.02002784649463647,-0.16399951672414737,-0.08549035846517239,1,0.07850915825897498
-0.011709095985155599,0.01778109820237105,-0.15471084846180286,-0.08500894350850835,1,0.06970190495329451
-0.015600861578206948,0.01877717652040297,-0.16055492755819678,-0.08694839559821713,1,0.07360653195997965
0.01160587670905433,0.01817485880140637,-0.13216764654170216,-0.06092220004018919,1,0.07124544650151296
-0.05379814470301851,0.019038315098084995,-0.19926404229526512,-0.12463384711077193,0,0.0746301951844932
-0.012995370709983411,0.01603466996637773,-0.15257412384408375,-0.08971821757588307,1,0.06285590626820069
0.005491513559331834,0.017628490398552125,-0.13721112762183035,-0.068107445259506,1,0.06910368236232435
-0.01451629812447465,0.020120803743673088,-0.16210387346207392,-0.0832303227868754,1,0.07887355067519852
-0.0026112153279539696,0.017110119644380133,-0.14429784983093902,-0.07722618082496892,1,0.0670716690059701
-0.012041922627470392,0.02480337255266047,-0.16880733283068491,-0.07157811242425588,1,0.09722922040642903
-0.030248065412912514,0.017177549616362756,-0.17206686266098353,-0.10473086816484152,1,0.06733599449614201
-0.014786150627682695,0.020715860335980746,-0.16354003688620497,-0.08233386436916043,1,0.08120617251704454
-0.015080801096466298,0.016919646284673857,-0.15639410781442706,-0.09006909437850555,1,0.06632501343592151
-0.010891500381035896,0.025293984285263506,-0.16861850958015237,-0.06946609118191943,1,0.09915241839823294
-0.032172498971335825,0.019105037354898068,-0.17776917218693605,-0.10287742575573562,1,0.07489174643120043
-0.029939012181479943,0.01887224362397994,-0.17507940968448063,-0.10110021467847927,1,0.07397919500600136
-0.015661420884394872,0.029907316856144187,-0.18243056192243748,-0.06519387984635228,1,0.1172366820760852
-0.020867456275607807,0.029488611022650796,-0.18681593388000337,-0.07122057867121226,1,0.1155953552087911
0.0015310880055183357,0.04115691997272246,-0.18728727514101767,-0.025952148847945652,1,0.161335126293072
-0.017367168242140255,0.01773021855876999,-0.16026919661732944,-0.09076673986695108,1,0.06950245675037836
-0.05066569633541927,0.017885022471485983,-0.1938711403795318,-0.12376185229130676,0,0.07010928808822503
-0.006594897453931728,0.018492850071927414,-0.15099168359490947,-0.078499711312954,1,0.07249197228195547
0.009938008072394727,0.019968222286100786,-0.13735050760836282,-0.05907507624684774,1,0.07827543136151507
-0.028972313091273863,0.01874477923344704,-0.17386288038883008,-0.10038334579371767,1,0.0734795345951124
-0.03810469103105242,0.01761661514086884,-0.18078405670715536,-0.11172692535494949,0,0.06905713135220587
-0.006454042720797401,0.03161584014573445,-0.17657188940643692,-0.052637796035157884,1,0.12393409337127903
-0.008399292487696733,0.017930736945391428,-0.15169433690066395,-0.08140584807472953,1,0.07028848882593441
-0.020084863297979497,0.016715038798343976,-0.16099713934273369,-0.09547418725322532,1,0.06552295208950837
-0.0209657915025646,0.018023262127243134,-0.16444218527196114,-0.09379099773316807,1,0.07065118753879307
-0.03728670398098548,0.01694203413262242,-0.17864389088092542,-0.11223111708104554,0,0.06641277379987988
-0.03603526492587651,0.019625910548993073,-0.18265284960190292,-0.1057192802498501,1,0.07693356935205282
-0.04002020308087455,0.029630008845997206,-0.20624582041902906,-0.09009618574272003,1,0.11614963467630902
-0.037185659047279926,0.01904017871315934,-0.18265520932507223,-0.10801770876948763,1,0.0746375005555846
-0.025180588706685145,0.015688121478728247,-0.16408010680499252,-0.10258267060837778,1,0.06149743619661474
-0.007074624337325641,0.018140026937682532,-0.15077987713518343,-0.07967097153946788,1,0.07110890559571555
0.004074502865619389,0.01732380141563243,-0.13803094790902018,-0.07012164635974105,1,0.06790930154927913
-0.038401433699935136,0.01671505620646881,-0.17931374386461402,-0.11379072353525627,0,0.06552302032935775
-0.021887747647608327,0.01937456187009709,-0.16801268891299864,-0.09206440638221804,1,0.0759482825307806
-0.009318393935379088,0.021380161671863747,-0.15937431081223202,-0.07556407705852615,1,0.08381023375370587
-0.019500662529650423,0.017544132793430787,-0.16203796280477478,-0.09326496225452609,1,0.0687730005502487
0.008745995322607739,0.018423654665685227,-0.1355151678221353,-0.06329444153264922,1,0.07222072628948607
-0.028288772244117202,0.017947374015147,-0.17161642531380533,-0.10126271917442908,1,0.07035370613937625
-0.027800197760714532,0.017040291932401728,-0.16934996994822193,-0.10255202557320715,1,0.06679794437501478
-0.020398351115668803,0.01903741901008764,-0.1658624923754406,-0.09123580985589703,1,0.07462668251954356
-0.03270639615235503,0.024637209579792617,-0.18914612692874855,-0.09256826537596151,1,0.09657786155278704
-0.03315714347660269,0.017967050061507957,-0.17652336159715828,-0.1060925253560471,1,0.07043083624111118
-0.07098032016309992,0.01654872285017632,-0.2115666169494455,-0.14669562337675435,0,0.06487099357269116
0.008033702736422885,0.017131600367958338,-0.13369503398477545,-0.06653916054237878,1,0.06715587344239667
0.02891707414579145,0.0198853390561574,-0.11820899040427706,-0.040258461304140056,1,0.077950529100137
-0.020959466397459173,0.01684602435142523,-0.16212847412625264,-0.09609205866866573,1,0.06603641545758691
0.01879939565746884,0.019322703305343466,-0.12722390282100435,-0.051478905864057976,1,0.07574499695694636
-0.004601230990575286,0.018263732346029307,-0.14854894638879274,-0.07695511559235785,1,0.07159383079643489
0.0029320199662989377,0.019068488901516096,-0.1425930182806726,-0.06784454178672952,1,0.07474847649394309
-0.008827813190678657,0.017610941467100787,-0.1514960584661962,-0.08246116791516112,1,0.0690348905510351
-0.03487883501104756,0.016489869521128464,-0.17534977927245937,-0.11070949074963578,0,0.0646402885228236
-0.015287475757733773,0.017977490708194037,-0.1586741575457941,-0.08820239396967347,1,0.07047176357612062
-0.009079494348621361,0.018299179357245794,-0.15309668588882314,-0.08136390280841961,1,0.07173278308040353
-0.01800935970545027,0.019201432783452356,-0.1637949679610169,-0.08852535144988366,1,0.07526961651113323
-0.018555488569584597,0.01671121829437522,-0.15946027642656002,-0.09395230071260918,1,0.06550797571395084
-0.033320217938463556,0.01772555497202195,-0.17621310568362658,-0.10672893019330054,1,0.06948417549032604
-0.05448863417355122,0.018037609001429717,-0.19799314781635347,-0.127285720530749,0,0.07070742728560447
