estimand,spec,bias,rmse,ese,cld,coverage
E(Y^1),True,0.0003350290615380114,0.014060560509473482,0.014056568477707856,0.0551017484326148,0.949
E(Y^1),Main-effects,-0.013597272720725112,0.019369503593254542,0.01379463098481889,0.05407495346049005,0.836
E(Y^1),Random forest,0.02539670002682262,0.029310026640223218,0.014631653679546365,0.05735608242382175,0.61
E(Y^0),True,1.52406178677289e-06,0.010039964867482026,0.010039964751806105,0.03935666182707993,0.954
E(Y^0),Main-effects,0.008752571854079516,0.01350064595512493,0.010279101475557394,0.040294077784184985,0.865
E(Y^0),Random forest,-0.014000035520862875,0.016846960395110033,0.009371183488171796,0.03673503927363344,0.669
ATE,True,0.000408204999751291,0.01729424607578455,0.017289427868150162,0.06777455724314864,0.948
ATE,Main-effects,-0.022275144574804576,0.028393469918077563,0.01760701758278016,0.06901950892449822,0.768
ATE,Random forest,0.03947143554768549,0.0425997219753989,0.016023173474258894,0.06281084001909486,0.3
