sim_id 1: ml_ate=-0.0550 ml_ey1=0.2777 ml_ey0=0.3327   [1 this run, 25.2s/dataset]
sim_id 2: ml_ate=-0.0514 ml_ey1=0.2786 ml_ey0=0.3301   [2 this run, 30.0s/dataset]
sim_id 3: ml_ate=-0.0651 ml_ey1=0.2725 ml_ey0=0.3376   [3 this run, 33.5s/dataset]
sim_id 4: ml_ate=-0.0964 ml_ey1=0.2335 ml_ey0=0.3299   [4 this run, 32.9s/dataset]
sim_id 5: ml_ate=-0.0190 ml_ey1=0.2931 ml_ey0=0.3120   [5 this run, 33.3s/dataset]
sim_id 6: ml_ate=-0.0622 ml_ey1=0.2812 ml_ey0=0.3435   [6 this run, 33.7s/dataset]
sim_id 7: ml_ate=-0.0596 ml_ey1=0.2661 ml_ey0=0.3257   [7 this run, 33.6s/dataset]
sim_id 8: ml_ate=-0.0580 ml_ey1=0.2828 ml_ey0=0.3408   [8 this run, 33.7s/dataset]
sim_id 9: ml_ate=-0.0741 ml_ey1=0.2600 ml_ey0=0.3341   [9 this run, 33.2s/dataset]
sim_id 10: ml_ate=-0.0334 ml_ey1=0.2920 ml_ey0=0.3255   [10 this run, 32.8s/dataset]
sim_id 11: ml_ate=-0.0544 ml_ey1=0.2499 ml_ey0=0.3043   [11 this run, 32.5s/dataset]
sim_id 12: ml_ate=-0.0991 ml_ey1=0.2424 ml_ey0=0.3415   [12 this run, 32.5s/dataset]
sim_id 13: ml_ate=-0.1391 ml_ey1=0.2017 ml_ey0=0.3408   [13 this run, 32.3s/dataset]
sim_id 14: ml_ate=-0.0387 ml_ey1=0.2641 ml_ey0=0.3028   [14 this run, 32.0s/dataset]
sim_id 15: ml_ate=-0.0828 ml_ey1=0.2808 ml_ey0=0.3636   [15 this run, 32.0s/dataset]
sim_id 16: ml_ate=-0.0753 ml_ey1=0.2580 ml_ey0=0.3333   [16 this run, 31.9s/dataset]
sim_id 17: ml_ate=-0.0491 ml_ey1=0.2656 ml_ey0=0.3146   [17 this run, 31.8s/dataset]
sim_id 18: ml_ate=-0.0542 ml_ey1=0.2808 ml_ey0=0.3351   [18 this run, 31.8s/dataset]
sim_id 19: ml_ate=-0.0743 ml_ey1=0.2471 ml_ey0=0.3214   [19 this run, 31.6s/dataset]
sim_id 20: ml_ate=-0.0659 ml_ey1=0.2704 ml_ey0=0.3364   [20 this run, 31.5s/dataset]
sim_id 21: ml_ate=-0.1009 ml_ey1=0.2339 ml_ey0=0.3348   [21 this run, 31.4s/dataset]
sim_id 22: ml_ate=-0.0808 ml_ey1=0.2434 ml_ey0=0.3242   [22 this run, 31.2s/dataset]
sim_id 23: ml_ate=-0.0934 ml_ey1=0.2484 ml_ey0=0.3418   [23 this run, 31.1s/dataset]
sim_id 24: ml_ate=-0.0422 ml_ey1=0.2852 ml_ey0=0.3274   [24 this run, 31.0s/dataset]
sim_id 25: ml_ate=-0.1006 ml_ey1=0.2374 ml_ey0=0.3380   [25 this run, 31.0s/dataset]
sim_id 26: ml_ate=-0.0654 ml_ey1=0.2602 ml_ey0=0.3255   [26 this run, 30.9s/dataset]
sim_id 27: ml_ate=-0.0381 ml_ey1=0.2951 ml_ey0=0.3332   [27 this run, 30.9s/dataset]
sim_id 28: ml_ate=+0.0012 ml_ey1=0.3099 ml_ey0=0.3087   [28 this run, 30.8s/dataset]
sim_id 29: ml_ate=-0.0700 ml_ey1=0.2481 ml_ey0=0.3181   [29 this run, 30.8s/dataset]
sim_id 30: ml_ate=-0.0334 ml_ey1=0.2734 ml_ey0=0.3068   [30 this run, 30.8s/dataset]
sim_id 31: ml_ate=-0.0769 ml_ey1=0.2249 ml_ey0=0.3018   [31 this run, 30.7s/dataset]
sim_id 32: ml_ate=-0.0958 ml_ey1=0.2311 ml_ey0=0.3269   [32 this run, 30.6s/dataset]
sim_id 33: ml_ate=-0.0579 ml_ey1=0.2888 ml_ey0=0.3466   [33 this run, 30.6s/dataset]
sim_id 34: ml_ate=-0.1068 ml_ey1=0.2413 ml_ey0=0.3481   [34 this run, 30.6s/dataset]
sim_id 35: ml_ate=-0.0486 ml_ey1=0.2758 ml_ey0=0.3244   [35 this run, 30.8s/dataset]
