sim_id,true_ey1,true_ey0,true_ate,main_ey1,main_ey0,main_ate,ml_ey1,ml_ey0,ml_ate
501,0.22276019030327093,0.35028316521278824,-0.1275229749095173,0.20532527197988604,0.3600303674974695,-0.15470509551758344,0.2414865740604404,0.33595935117183545,-0.09447277711139504
502,0.24126776374840467,0.34244753130867156,-0.10117976756026689,0.23391839009141882,0.348475300218498,-0.11455691012707916,0.2638777063346376,0.32970378124229827,-0.06582607490766068
503,0.23739397591862396,0.3401766604140006,-0.10278268449537661,0.23076148013540645,0.344038310172889,-0.11327683003748254,0.2559923308284704,0.32620616713487116,-0.07021383630640077
504,0.26657182787493966,0.3612258719986659,-0.09465404412372624,0.258528163446075,0.36688896909804936,-0.10836080565197437,0.29033280497112746,0.34941840562916454,-0.059085600658037085
505,0.27109296704311997,0.3370467557938092,-0.06595378875068925,0.2514576556384804,0.3463500395703913,-0.0948923839319109,0.28870868685611206,0.32728427477404315,-0.03857558791793109
506,0.2640814011726497,0.34139448819678897,-0.07731308702413925,0.26215109798400255,0.3441318008964712,-0.08198070291246867,0.29078357501710717,0.3274843571433717,-0.03670078212626454
507,0.2698866581320191,0.3391599591831688,-0.0692733010511497,0.24080571742470128,0.35104007505593776,-0.11023435763123648,0.28024106471595694,0.3290771536322967,-0.04883608891633978
508,0.2854796953339687,0.3470033199518582,-0.06152362461788946,0.2683294495129259,0.3559319972569628,-0.08760254774403686,0.29241433523236193,0.3384455768686719,-0.04603124163630995
509,0.2289587110260609,0.3642954600091865,-0.1353367489831256,0.21738477531801292,0.3707373444671599,-0.15335256914914697,0.24556791295095423,0.34750914502797975,-0.10194123207702552
510,0.25479729730334705,0.3248279608914955,-0.07003066358814847,0.23873690500442837,0.3329180105812712,-0.09418110557684281,0.26644502514787344,0.3143664987732515,-0.047921473625378075
511,0.22432027903248408,0.3294317862015981,-0.105111507169114,0.21150454529517226,0.33607017961991154,-0.12456563432473927,0.23989628280151393,0.31601470919974506,-0.07611842639823113
512,0.2013450265272792,0.34553711182806046,-0.14419208530078126,0.19158598684926936,0.35559860510127167,-0.1640126182520023,0.22557775506110847,0.32988179013065383,-0.10430403506954536
513,0.20400273933509372,0.340469551828936,-0.1364668124938423,0.18956350924917584,0.3507072061728856,-0.16114369692370975,0.23320124372612744,0.32165938745093914,-0.0884581437248117
514,0.20228976510360175,0.3472194745288525,-0.14492970942525074,0.19573751743459228,0.3518059060444214,-0.15606838860982913,0.22464152694961392,0.3299133183564814,-0.10527179140686749
515,0.2248515998090052,0.3457554502633061,-0.12090385045430091,0.21424821357313933,0.3536696315243874,-0.13942141795124807,0.254763161668401,0.33210337961518427,-0.07734021794678325
516,0.20802143507961066,0.34917199022920903,-0.14115055514959837,0.18592113229225207,0.365394412486837,-0.17947328019458494,0.22926716790587728,0.33751640399250216,-0.10824923608662487
517,0.20824255347319215,0.33164957074672824,-0.12340701727353609,0.20075676525086691,0.337340165359709,-0.1365834001088421,0.2264675209249741,0.31873700363602414,-0.09226948271105004
518,0.19626970952654393,0.35418277247138025,-0.1579130629448363,0.18636424325851214,0.36290464306760434,-0.1765403998090922,0.2310896826653657,0.3331958498503339,-0.1021061671849682
519,0.23744160127753727,0.33064373098446664,-0.09320212970692937,0.22402682151141654,0.3405626415863093,-0.11653582007489274,0.24086400127924826,0.32037127889195977,-0.07950727761271151
520,0.2499826040178934,0.35322121550774044,-0.10323861148984703,0.23716616607427243,0.3629196533293507,-0.1257534872550783,0.28731529520036675,0.33540923838305436,-0.048093943182687615
521,0.2522260894738435,0.35127588879151,-0.0990497993176665,0.23598509387132838,0.36047067998277377,-0.12448558611144539,0.26666351642994823,0.34179068893613784,-0.07512717250618961
522,0.21559582989409032,0.3353939274897821,-0.11979809759569177,0.2103716798033856,0.34010336684343895,-0.12973168704005336,0.23673073085021254,0.31966630814935343,-0.08293557729914089
523,0.24169622635280957,0.36764002402617574,-0.12594379767336616,0.23040447579386583,0.3760221437204735,-0.14561766792660766,0.2777424441036835,0.3484919702918117,-0.07074952618812824
524,0.24271489705616045,0.32604630063729695,-0.0833314035811365,0.22511976316835527,0.33361419481441296,-0.10849443164605768,0.26261288996479165,0.31390365853934693,-0.05129076857455528
525,0.24113142875069252,0.3485500385387546,-0.10741860978806209,0.2323803050528545,0.3547916958274271,-0.12241139077457258,0.26789870266306387,0.3300336915615531,-0.06213498889848923
526,0.23781462697051586,0.33895270271584105,-0.10113807574532518,0.21951760363742437,0.35091927664581324,-0.13140167300838887,0.2610774267066577,0.3243138976140803,-0.06323647090742263
527,0.21132784969546128,0.3213412919551811,-0.11001344225971979,0.1999410024398394,0.33066235787479675,-0.13072135543495736,0.23305077054784473,0.30655769662518384,-0.07350692607733911
528,0.23762878310872648,0.33096367482379285,-0.09333489171506637,0.22349959968596955,0.3411200265595065,-0.11762042687353697,0.2545639950912903,0.31812016478875627,-0.06355616969746597
