estimand,spec,bias,rmse,ese,cld,coverage
E(Y^1),True,0.0006064382647267552,0.02043854508940798,0.02042954620158848,0.08008382111022683,0.951
E(Y^1),Main-effects,-0.013291057360679703,0.02399626415899048,0.019979201381015534,0.0783184694135809,0.894
E(Y^1),Machine learning,0.022817097658240942,0.030059937835142336,0.019569872690104993,0.07671390094521156,0.785
E(Y^0),True,0.000231708891840543,0.013940715135032766,0.013938789383069595,0.05464005438163281,0.95
E(Y^0),Main-effects,0.008926037181959445,0.01682691543502803,0.014264324143956557,0.0559161506443097,0.91
E(Y^0),Machine learning,-0.013974334908375796,0.01929872227031632,0.013310095609549641,0.05217557478943459,0.828
ATE,True,0.0004494293728862925,0.024368740348151768,0.02436459561319307,0.09550921480371682,0.943
ATE,Main-effects,-0.022142394542639013,0.033177469596026375,0.02470746552589651,0.09685326486151431,0.853
ATE,Machine learning,0.03686613256661678,0.04273116258655796,0.02160649267186807,0.08469745127372283,0.598
