ipw_rd,ipw_se,gcomp_rd,aipw_rd,aipw_se,tmle_rd,tmle_se,scaipw_rd,scaipw_se,sctmle_rd,sctmle_se,sim_id
-0.1009210401378857,0.0245470000027649,-0.0879745674222098,-0.1197682697109283,0.019648797300042,-0.1200758886165208,0.0157797335246536,-0.1217748822295774,0.0209074477151088,-0.1049447501358706,0.0175994283314614,1
-0.0930756822362556,0.0239662782925699,-0.0659432917693149,-0.0948349725688176,0.0159538752927031,-0.1036326547038147,0.0155263537179614,-0.1162903242470603,0.0208435285345123,-0.1130939584592844,0.0182408265866255,2
-0.1199587281044647,0.0215995385297674,-0.1128839105433169,-0.1314926576421797,0.0168122665348935,-0.1344854015287268,0.0168544900026319,-0.1285700272104725,0.0201573840609179,-0.13241727012518,0.0198109947146787,3
-0.1107262891013159,0.0233774028081339,-0.0808874869886215,-0.1017638980691823,0.0180856681246025,-0.1037486374056925,0.018211911346911,-0.1133882333178397,0.0210273436497451,-0.0995744206354231,0.0213210790426083,4
-0.0657313842575291,0.0241935258233296,-0.0476843815496552,-0.064540576928355,0.0188888490868246,-0.0667264713305847,0.01876007002254,-0.0629905802844537,0.0213072242431257,-0.0562357288044788,0.0190391949352198,5
-0.1166842810273101,0.0214309686300006,-0.1050466596129145,-0.1262292379549565,0.0153918021231002,-0.1327444549163373,0.0155211204408525,-0.1228171779265727,0.0190995336541694,-0.1323161067773839,0.0186278271870276,6
-0.0957412353276809,0.0213971009425703,-0.083501921055564,-0.1085811262286691,0.0153620144420279,-0.1159076329258602,0.015316695302053,-0.1243417054729888,0.0222474076211626,-0.1261410781522966,0.0213731429691684,7
-0.0407397106643727,0.0226017022744466,-0.0470488212966537,-0.054148537206918,0.0179621491211292,-0.0568270441112815,0.0179803282407069,-0.0513093737560273,0.0234935160349737,-0.0537320474074418,0.0201709232389356,8
-0.0917866969197479,0.0240796728281945,-0.0646543842520345,-0.0899911183078759,0.0165890972017265,-0.0928974845168644,0.0171328960320144,-0.1155314233515848,0.0202242227549207,-0.1141434918479504,0.0191188942632353,9
-0.0716051561274948,0.0216710664602643,-0.0614181517492076,-0.0826593072887906,0.015242047826457,-0.0934100649221683,0.015269420990121,-0.085301223825987,0.0187537411474161,-0.0905234745675032,0.0190076791166214,10
-0.1016955217262233,0.0216223067537258,-0.0833122957562029,-0.1059342550600505,0.016411187497006,-0.1155651263839364,0.0162678626858285,-0.0977349661168574,0.0212269874682682,-0.10129451919335,0.0205793900231268,11
-0.0918566289120304,0.0208501638748918,-0.0772579799401076,-0.1036849784839249,0.015579144234616,-0.1129284569389346,0.0155301372403825,-0.1076672439965306,0.0200375461720035,-0.1076238374984658,0.0204310743305814,12
-0.1425002747790519,0.0191909167703621,-0.1238333538221796,-0.1465947015864008,0.0149611597578264,-0.1535793434408776,0.0149949674151721,-0.1557242476116957,0.0174173181403965,-0.1575467409297743,0.0172406826238122,13
-0.0808217247609251,0.0236114960572251,-0.0632431948146911,-0.0805107519595884,0.0176438622059598,-0.0863237609286689,0.0179696351511575,-0.0879102456657519,0.0210703898065755,-0.0949090484786856,0.0170901230952094,14
-0.0830899073190878,0.0225737871046631,-0.06148109315573,-0.0855248129538271,0.0167903444585654,-0.0891275716248074,0.0168889299988642,-0.0978378177560506,0.0220651944864672,-0.0838429024698635,0.0216118545552674,15
-0.0889499448309726,0.0232249896466882,-0.0608500899575248,-0.0816804688242786,0.0168353051373779,-0.0833787777671213,0.0182642476189549,-0.0977756673489175,0.0247636575788271,-0.0789630750248922,0.0211587615852244,16
-0.0609690471517954,0.0211430265490564,-0.0686495644142919,-0.0783520704850019,0.0182372159148325,-0.0814435234341053,0.0181965580946889,-0.0625396155616323,0.0343839095964112,-0.0687551348595585,0.0196162008867118,17
-0.0893850992122016,0.0196833203780742,-0.084874844366708,-0.1077119677263407,0.0157627540230482,-0.1182161914542937,0.0158484593398373,-0.1096949410613242,0.0175912165206855,-0.1103432703566675,0.0174376341290965,18
-0.0811945582716587,0.0229333426973484,-0.0779416552944509,-0.0934989519487872,0.0165939925925851,-0.0968935058853992,0.0164598700850874,-0.1053522504465413,0.0200918637672768,-0.1002863786946196,0.0193513378526907,19
-0.082945311104817,0.0224086397883655,-0.0669112363478023,-0.0799751154459482,0.0175063106182484,-0.0805459472635501,0.0177053137778324,-0.079163303798176,0.0206616547804202,-0.0803586697144518,0.0222498297949599,20
-0.133145867128373,0.0224796291224301,-0.1042098622534779,-0.1346767977940775,0.0162460613719628,-0.1394953463048045,0.0159160546967078,-0.1328023058221646,0.0177217111362082,-0.1363383795858356,0.0182880128051058,21
-0.1066029995228237,0.0232560332758517,-0.0880017374085995,-0.1106879112666496,0.0170948063626779,-0.1162917624254041,0.0167313708074321,-0.1181739424044463,0.0219969868719605,-0.1156867758365858,0.0246302539168681,22
-0.1057822685414119,0.0258239459078809,-0.0898050740149829,-0.1158968317840797,0.0158054739257195,-0.1239275458139961,0.0160243461121397,-0.1134959332622607,0.0196485053817518,-0.1112844976053369,0.0200665375851368,23
