estimand,spec,bias,rmse,ese,cld,coverage
E(Y^1),True,0.0003350290615380114,0.014060560509473482,0.014056568477707856,0.0551017484326148,0.949
E(Y^1),Main-effects,-0.013597272720725112,0.019369503593254542,0.01379463098481889,0.05407495346049005,0.836
E(Y^1),Machine learning,0.013773351905493086,0.019968689430951942,0.014458330985188497,0.05667665746193891,0.827
E(Y^0),True,1.52406178677289e-06,0.010039964867482026,0.010039964751806105,0.03935666182707993,0.954
E(Y^0),Main-effects,0.008752571854079516,0.01350064595512493,0.010279101475557394,0.040294077784184985,0.865
E(Y^0),Machine learning,-0.012555866238477043,0.015904303504232265,0.009762022995066502,0.03826713014066069,0.751
ATE,True,0.000408204999751291,0.01729424607578455,0.017289427868150162,0.06777455724314864,0.948
ATE,Main-effects,-0.022275144574804576,0.028393469918077563,0.01760701758278016,0.06901950892449822,0.768
ATE,Machine learning,0.02640391814397025,0.031244473779213834,0.01670479716687693,0.06548280489415756,0.64
